ID,Team1,Team2,PlayerOfMatch,Date,CoinFlipWin,CoinDec,Location,Stadium,NeutralVenue,Winner,WinType,WinBy
218,Nepal,Ireland,KJ O'Brien,2015-07-13,Ireland,field,Belfast,"Civil Service Cricket Club, Stormont",0,Ireland,wickets,8
219,Scotland,South Africa,AB de Villiers,2009-06-07,Scotland,field,London,Kennington Oval,1,South Africa,runs,130
220,England,Pakistan,LJ Wright,2009-06-07,Pakistan,field,London,Kennington Oval,0,England,runs,48
221,Bangladesh,Ireland,NJ O'Brien,2009-06-08,Ireland,field,Nottingham,Trent Bridge,1,Ireland,wickets,6
222,India,West Indies,E Lewis,2016-08-27,India,field,Lauderhill,Central Broward Regional Park Stadium Turf Ground,1,West Indies,runs,1
223,Ireland,Netherlands,AR Cusack,2010-02-13,Ireland,bat,0,Dubai International Cricket Stadium,1,Ireland,runs,65
224,England,Australia,0,2009-08-30,England,field,Manchester,Old Trafford,0,0,0,0
225,United Arab Emirates,Afghanistan,Najibullah Zadran,2016-12-16,United Arab Emirates,bat,0,Dubai International Cricket Stadium,0,Afghanistan,wickets,5
226,Afghanistan,United Arab Emirates,Mohammad Shahzad,2015-07-10,United Arab Emirates,bat,Edinburgh,"Grange Cricket Club Ground, Raeburn Place",1,Afghanistan,wickets,8
227,England,Ireland,0,2010-05-04,Ireland,field,Guyana,Providence Stadium,1,0,0,0
228,Afghanistan,Kenya,Samiullah Shenwari,2013-11-24,Afghanistan,bat,0,Sharjah Cricket Stadium,1,Afghanistan,runs,34
229,England,New Zealand,CD McMillan,2007-09-18,England,field,Durban,Kingsmead,1,New Zealand,runs,5
230,Australia,Sri Lanka,CL White,2010-05-09,Australia,bat,Barbados,"Kensington Oval, Bridgetown",1,Australia,runs,81
231,Afghanistan,Netherlands,BN Cooper,2013-11-15,Afghanistan,bat,Sharjah,Sharjah Cricket Stadium,1,Netherlands,wickets,7
232,Hong Kong,Scotland,MW Machan,2016-03-12,Hong Kong,bat,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",1,Scotland,wickets,8
233,Bangladesh,Nepal,Al-Amin Hossain,2014-03-18,Bangladesh,field,Chittagong,Zahur Ahmed Chowdhury Stadium,0,Bangladesh,wickets,8
234,Kenya,Ireland,GH Dockrell,2012-02-22,Ireland,field,0,Mombasa Sports Club Ground,0,Ireland,wickets,6
235,India,Australia,G Gambhir,2007-10-20,Australia,bat,Mumbai,Brabourne Stadium,0,India,wickets,7
236,Zimbabwe,India,E Chigumbura,2016-06-18,India,field,0,Harare Sports Club,0,Zimbabwe,runs,2
237,New Zealand,South Africa,Imran Tahir,2017-02-17,New Zealand,field,Auckland,Eden Park,0,South Africa,runs,78
238,Australia,Pakistan,SW Tait,2010-02-05,Australia,bat,0,Melbourne Cricket Ground,0,Australia,runs,2
239,Bermuda,Scotland,JD Nel,2008-08-03,Scotland,field,Belfast,"Civil Service Cricket Club, Stormont",1,Scotland,wickets,8
240,Australia,India,RA Jadeja,2012-02-03,Australia,bat,0,Melbourne Cricket Ground,0,India,wickets,8
241,Pakistan,Sri Lanka,Umar Akmal,2016-03-04,Pakistan,field,Mirpur,Shere Bangla National Stadium,1,Pakistan,wickets,6
242,New Zealand,West Indies,SP Narine,2012-10-01,New Zealand,field,0,Pallekele International Cricket Stadium,1,0,0,0
243,Australia,South Africa,DR Martyn,2006-01-09,Australia,bat,Brisbane,"Brisbane Cricket Ground, Woolloongabba",0,Australia,runs,95
244,Afghanistan,Hong Kong,Nawroz Mangal,2015-07-21,Afghanistan,bat,Dublin,"The Village, Malahide",1,Hong Kong,wickets,5
245,India,England,JJ Bumrah,2017-01-29,England,field,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",0,India,runs,5
246,Australia,Pakistan,Saeed Ajmal,2012-09-07,Pakistan,bat,0,Dubai International Cricket Stadium,1,0,0,0
247,England,Sri Lanka,NLTC Perera,2014-05-20,England,field,London,Kennington Oval,0,Sri Lanka,runs,9
248,England,Sri Lanka,DPMD Jayawardene,2011-06-25,Sri Lanka,field,Bristol,County Ground,0,Sri Lanka,wickets,9
249,South Africa,New Zealand,MJ Guptill,2012-12-23,New Zealand,field,East London,Buffalo Park,0,New Zealand,wickets,8
250,Australia,New Zealand,NW Bracken,2009-02-15,Australia,bat,0,Sydney Cricket Ground,0,Australia,runs,1
251,Afghanistan,Scotland,Mohammad Shahzad,2016-03-08,Afghanistan,bat,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",1,Afghanistan,runs,14
252,Sri Lanka,India,IK Pathan,2012-08-07,Sri Lanka,field,0,Pallekele International Cricket Stadium,0,India,runs,39
253,Australia,South Africa,CJ Boyce,2014-11-07,South Africa,bat,0,Melbourne Cricket Ground,0,Australia,wickets,7
254,India,United Arab Emirates,RG Sharma,2016-03-03,United Arab Emirates,bat,Mirpur,Shere Bangla National Stadium,1,India,wickets,9
255,Oman,Scotland,MH Cross,2017-01-19,Oman,bat,0,Dubai International Cricket Stadium,1,Scotland,wickets,7
256,Hong Kong,Nepal,SP Gauchan,2014-03-16,Hong Kong,field,Chittagong,Zahur Ahmed Chowdhury Stadium,1,Nepal,runs,80
257,Ireland,Kenya,AC Botha,2008-08-04,Ireland,field,Belfast,"Civil Service Cricket Club, Stormont",0,Ireland,wickets,4
258,Netherlands,South Africa,Imran Tahir,2014-03-27,Netherlands,field,Chittagong,Zahur Ahmed Chowdhury Stadium,1,South Africa,runs,6
259,South Africa,India,KD Karthik,2006-12-01,South Africa,bat,Johannesburg,New Wanderers Stadium,0,India,wickets,6
260,Sri Lanka,West Indies,DJ Bravo,2015-11-11,West Indies,bat,Colombo,R Premadasa Stadium,0,West Indies,runs,23
261,New Zealand,Australia,MG Johnson,2010-02-26,New Zealand,bat,Wellington,Westpac Stadium,0,Australia,wickets,6
262,Bangladesh,South Africa,E Leie,2015-07-07,South Africa,bat,Mirpur,Shere Bangla National Stadium,0,South Africa,runs,31
263,Australia,South Africa,CL White,2014-11-09,Australia,field,Sydney,Stadium Australia,0,Australia,wickets,2
264,Zimbabwe,India,KM Jadhav,2016-06-22,Zimbabwe,field,0,Harare Sports Club,0,India,runs,3
265,Bangladesh,Pakistan,Ahmed Shehzad,2014-03-30,Pakistan,bat,Mirpur,Shere Bangla National Stadium,0,Pakistan,runs,50
266,England,Pakistan,Wahab Riaz,2016-09-07,England,bat,Manchester,Old Trafford,0,Pakistan,wickets,9
267,Sri Lanka,Australia,BAW Mendis,2011-08-08,Sri Lanka,bat,0,Pallekele International Cricket Stadium,0,Sri Lanka,runs,8
268,Pakistan,Sri Lanka,ST Jayasuriya,2008-10-13,Sri Lanka,field,King City,Maple Leaf North-West Ground,1,Sri Lanka,wickets,5
269,Bangladesh,Sri Lanka,MDKJ Perera,2014-02-12,Bangladesh,field,Chittagong,Zahur Ahmed Chowdhury Stadium,0,Sri Lanka,runs,2
270,India,Pakistan,V Kohli,2012-09-30,Pakistan,bat,Colombo,R Premadasa Stadium,1,India,wickets,8
271,Afghanistan,Zimbabwe,Gulbadin Naib,2016-01-08,Afghanistan,bat,0,Sharjah Cricket Stadium,1,Afghanistan,runs,5
272,Pakistan,South Africa,Umar Gul,2012-09-28,South Africa,bat,Colombo,R Premadasa Stadium,1,Pakistan,wickets,2
273,United Arab Emirates,Ireland,0,2016-02-14,United Arab Emirates,field,Abu Dhabi,Sheikh Zayed Stadium,0,Ireland,runs,34
